"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17564","Odisha","Street lights","WS/MP18149/2025-2026/184449","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17565","Odisha","Street lights","WS/MP18149/2025-2026/184445","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17566","Odisha","Street lights","WS/MP18149/2025-2026/184444","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17567","Odisha","Street lights","WS/MP18149/2025-2026/184405","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17568","Odisha","Street lights","WS/MP18149/2025-2026/184410","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17569","Odisha","Street lights","WS/MP18149/2025-2026/184407","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17570","Odisha","Street lights","WS/MP18149/2025-2026/184429","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17571","Odisha","Street lights","WS/MP18149/2025-2026/184428","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17572","Odisha","Street lights","WS/MP18149/2025-2026/184442","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17573","Odisha","Street lights","WS/MP18149/2025-2026/184441","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17574","Odisha","Street lights","WS/MP18149/2025-2026/184438","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17575","Odisha","Street lights","WS/MP18149/2025-2026/184393","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17576","Odisha","Street lights","WS/MP18149/2025-2026/184394","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17577","Odisha","Street lights","WS/MP18149/2025-2026/184426","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17578","Odisha","Street lights","WS/MP18149/2025-2026/184424","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17579","Odisha","Street lights","WS/MP18149/2025-2026/184416","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","02-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17580","Odisha","Street lights","WS/MP18149/2025-2026/184415","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","02-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17581","Odisha","Street lights","WS/MP18149/2025-2026/184440","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","02-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17582","Odisha","Street lights","WS/MP18149/2025-2026/184452","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","29-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17583","Odisha","Street lights","WS/MP18149/2025-2026/184436","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17584","Odisha","Street lights","WS/MP18149/2025-2026/184439","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17585","Odisha","Street lights","WS/MP18149/2025-2026/184396","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17586","Odisha","Street lights","WS/MP18149/2025-2026/184437","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17587","Odisha","Street lights","WS/MP18149/2025-2026/184432","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17588","Odisha","Street lights","WS/MP18149/2025-2026/184433","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17589","Odisha","Street lights","WS/MP18149/2025-2026/184451","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
